# file:
#   name: cheap-direct_-2500_2500_10_5_0.1
#   comment: ''
#   date: '2024-11-08T15:32:46.895492'
#   index_col: motor_input
#   table_delim: "\t"
# user:
#   motor_name: cheap-direct
#   min_pos: -2500
#   max_pos: 2500
#   step: 10
#   cycles: 5
#   delay: 0.1
#   meas_type: long
#   input_units: null
#   calibration:
#     cam_position_um:
#     - -801
#     - -642
#     - -446
#     - -211
#     - -61
#     - 135
#     - 328
#     - 524
#     - 709
#     qpd_voltage_mV:
#     - -6481.35
#     - -5347.7
#     - -3769.225
#     - -1655.295
#     - -204.915
#     - 1661.76
#     - 3415.0
#     - 4999.98
#     - 6362.025
#     rescale_ref_um: 173
#     rescale_ref_mV: 1790
#     optical_lever_m: 0.75
#     mirror_lever_m: 0.031
#   compensated_backlash: 0
#   input_to_translation: 1.52587890625e-08
# dev: {}
# 
motor_input	qpd_voltage_mV
-2500	-7654.0
-2490	-9261.0
-2480	-9293.0
-2470	-9293.0
-2460	-9279.0
-2450	-9261.0
-2440	-9266.0
-2430	-9266.0
-2420	-9258.0
-2410	-9262.0
-2400	-9259.75
-2390	-9256.0
-2380	-9256.0
-2370	-9250.0
-2360	-9250.0
-2350	-9246.0
-2340	-9225.0
-2330	-9194.0
-2320	-9194.0
-2310	-9166.0
-2300	-9124.0
-2290	-9124.0
-2280	-9088.0
-2270	-9072.0
-2260	-9067.0
-2250	-9067.0
-2240	-9022.0
-2230	-8980.0
-2220	-8952.4375
-2210	-8931.0
-2200	-8914.0
-2190	-8883.0
-2180	-8883.0
-2170	-8842.0
-2160	-8826.0
-2150	-8785.0
-2140	-8785.0
-2130	-8737.0
-2120	-8694.0
-2110	-8687.25
-2100	-8676.0
-2090	-8643.0
-2080	-8594.0
-2070	-8594.0
-2060	-8569.0
-2050	-8518.0
-2040	-8513.375
-2030	-8481.0
-2020	-8469.0
-2010	-8414.0
-2000	-8414.0
-1990	-8401.0
-1980	-8353.0
-1970	-8353.0
-1960	-8312.0
-1950	-8247.0
-1940	-8220.5625
-1930	-8200.0
-1920	-8184.0
-1910	-8133.0
-1900	-8108.5
-1890	-8105.0
-1880	-8050.0
-1870	-8033.0
-1860	-8033.0
-1850	-7991.0
-1840	-7932.0
-1830	-7881.0
-1820	-7881.0
-1810	-7851.0
-1800	-7811.0
-1790	-7742.0
-1780	-7742.0
-1770	-7717.0
-1760	-7682.0
-1750	-7678.375
-1740	-7624.0
-1730	-7588.0
-1720	-7526.0
-1710	-7526.0
-1700	-7474.0
-1690	-7424.0
-1680	-7414.75
-1670	-7387.0
-1660	-7343.0
-1650	-7317.0
-1640	-7308.75
-1630	-7273.0
-1620	-7237.0
-1610	-7182.0
-1600	-7182.0
-1590	-7114.0
-1580	-7059.0
-1570	-7030.0
-1560	-7030.0
-1550	-6966.0
-1540	-6931.0
-1530	-6894.125
-1520	-6872.0
-1510	-6819.0
-1500	-6783.0
-1490	-6783.0
-1480	-6715.0
-1470	-6664.0
-1460	-6619.0
-1450	-6619.0
-1440	-6549.0
-1430	-6501.0
-1420	-6447.5625
-1410	-6444.0
-1400	-6396.0
-1390	-6374.0
-1380	-6326.875
-1370	-6316.0
-1360	-6267.0
-1350	-6195.0
-1340	-6195.0
-1330	-6145.0
-1320	-6092.0
-1310	-6076.75
-1300	-6031.0
-1290	-6010.0
-1280	-5950.0
-1270	-5950.0
-1260	-5895.0
-1250	-5848.0
-1240	-5764.0
-1230	-5764.0
-1220	-5741.0
-1210	-5709.0
-1200	-5665.6875
-1190	-5646.0
-1180	-5589.0
-1170	-5546.0
-1160	-5546.0
-1150	-5500.0
-1140	-5478.0
-1130	-5412.0
-1120	-5412.0
-1110	-5368.0
-1100	-5307.0
-1090	-5307.0
-1080	-5239.0
-1070	-5174.0
-1060	-5106.0
-1050	-5106.0
-1040	-5050.0
-1030	-5024.0
-1020	-5024.0
-1010	-4976.0
-1000	-4914.0
-990	-4865.0
-980	-4865.0
-970	-4822.0
-960	-4766.0
-950	-4746.75
-940	-4689.0
-930	-4626.0
-920	-4584.0
-910	-4584.0
-900	-4538.0
-890	-4515.0
-880	-4440.25
-870	-4423.0
-860	-4366.0
-850	-4322.0
-840	-4322.0
-830	-4222.0
-820	-4175.0
-810	-4144.0
-800	-4144.0
-790	-4081.0
