# file:
#   name: cheap-direct_-500_500_5_10_0.1
#   comment: ''
#   date: '2024-11-08T15:02:20.124506'
#   index_col: motor_input
#   table_delim: "\t"
# user:
#   motor_name: cheap-direct
#   min_pos: -500
#   max_pos: 500
#   step: 5
#   cycles: 10
#   delay: 0.1
#   meas_type: short
#   input_units: null
#   calibration:
#     cam_position_um:
#     - -801
#     - -642
#     - -446
#     - -211
#     - -61
#     - 135
#     - 328
#     - 524
#     - 709
#     qpd_voltage_mV:
#     - -6481.35
#     - -5347.7
#     - -3769.225
#     - -1655.295
#     - -204.915
#     - 1661.76
#     - 3415.0
#     - 4999.98
#     - 6362.025
#     rescale_ref_um: 173
#     rescale_ref_mV: 1790
#     optical_lever_m: 0.75
#     mirror_lever_m: 0.031
#   compensated_backlash: 0
#   input_to_translation: 1.52587890625e-08
# dev: {}
# 
motor_input	qpd_voltage_mV
-500	-175.0
-495	-793.4375
-490	-2154.0
-485	-2145.0
-480	-2145.0
-475	-2134.0
-470	-2134.0
-465	-2097.0
-460	-2099.375
-455	-2116.0
-450	-2104.0
-445	-2104.0
-440	-2093.0
-435	-2097.625
-430	-2130.0
-425	-2124.0
-420	-2124.0
-415	-2081.0
-410	-2081.0
-405	-2086.0
-400	-2092.0
-395	-2110.0
-390	-2116.0
-385	-2116.0
-380	-2071.0
-375	-2071.0
-370	-2037.0
-365	-2034.25
-360	-2033.0
-355	-1976.0
-350	-1976.0
-345	-1958.0
-340	-1958.0
-335	-1884.0
-330	-1846.5
-325	-1834.0
-320	-1751.0
-315	-1751.0
-310	-1724.0
-305	-1720.0625
-300	-1661.0
-295	-1651.0
-290	-1651.0
-285	-1617.0
-280	-1617.0
-275	-1573.0
-270	-1564.25
-265	-1553.0
-260	-1486.0
-255	-1486.0
-250	-1445.0
-245	-1445.0
-240	-1387.0
-235	-1367.0
-230	-1367.0
-225	-1316.0
-220	-1316.0
-215	-1197.0
-210	-1197.0
-205	-1148.0
-200	-1132.25
-195	-1127.0
-190	-1123.0
-185	-1123.0
-180	-1046.0
-175	-1031.3125
-170	-999.0
-165	-954.0
-160	-954.0
-155	-894.0
-150	-894.0
-145	-836.0
-140	-791.3125
-135	-781.0
-130	-759.0
-125	-759.0
-120	-713.0
-115	-713.0
-110	-667.0
-105	-646.0
-100	-625.0
-95	-590.0
-90	-590.0
-85	-573.0
-80	-573.0
-75	-466.0
-70	-466.0
-65	-429.0
-60	-390.5625
-55	-388.0
-50	-354.0
-45	-354.0
-40	-317.0
-35	-317.0
-30	-243.0
-25	-212.0625
-20	-210.0
-15	-157.0
-10	-157.0
-5	-125.0
0	-66.875
5	-63.0
10	-8.0
15	-8.0
20	56.0
25	73.0625
30	95.0
35	133.0
40	133.0
45	196.0
50	196.0
55	271.0
60	271.75
65	277.0
70	334.0
75	334.0
80	371.0
85	371.0
90	397.0
95	421.375
100	462.0
105	493.0
110	493.0
115	546.0
120	546.0
125	616.0
130	662.75
135	684.0
140	693.0
145	693.0
150	735.0
155	735.0
160	826.0
165	833.0
170	833.0
175	895.0
180	916.5
185	938.0
190	970.0
195	970.0
200	1040.0
205	1040.0
210	1113.0
215	1113.0
220	1108.0
225	1108.0
230	1205.0
235	1208.4375
240	1216.0
245	1264.75
250	1268.0
255	1333.0
260	1333.0
265	1373.0
270	1373.0
275	1383.0
280	1414.5
285	1446.0
290	1493.0
295	1493.0
300	1538.0
305	1538.0
310	1606.0
315	1606.0
320	1641.0
325	1702.0
330	1702.0
335	1742.0
340	1742.0
345	1768.0
350	1768.0
355	1825.0
360	1863.0
365	1863.0
370	1923.0
375	1923.0
380	1929.0
385	1949.625
390	1962.0
395	2048.0
400	2048.0
405	2111.0
410	2111.0
415	2143.0
420	2152.0
425	2179.0
430	2188.0
435	2188.0
440	2213.0
445	2213.0
450	2293.0
455	2335.0
460	2341.0
465	2375.0
470	2375.0
475	2377.0
480	2377.0
485	2466.0
490	2472.5625
495	2487.0
500	2559.0
495	2559.0
490	2577.0
485	2577.0
480	2590.0
475	2592.0
470	2592.0
465	2606.0
460	2606.0
455	2654.0
450	2654.0
445	2650.0
440	2623.0
435	2623.0
430	2646.0
425	2646.0
420	2659.0
415	2660.875
410	2665.0
405	2628.0
400	2628.0
395	2618.0
390	2618.0
385	2612.0
380	2625.125
375	2633.0
370	2629.0
365	2629.0
360	2623.0
355	2623.0
350	2621.0
345	2645.375
340	2647.0
335	2662.0
330	2662.0
325	2649.0
320	2647.4375
315	2624.0
310	2607.0
305	2607.0
300	2551.0
295	2551.0
290	2507.0
285	2483.4375
280	2478.0
275	2442.0
270	2442.0
265	2384.0
260	2384.0
255	2337.0
250	2307.9375
245	2306.0
240	2225.0
235	2225.0
230	2106.0
225	2102.25
220	2086.0
215	2071.0
210	2071.0
205	2002.0
200	2002.0
195	1955.0
190	1928.75
185	1913.0
180	1863.0
175	1863.0
170	1808.0
165	1808.0
160	1745.0
155	1745.0
150	1659.0
145	1628.625
140	1605.0
135	1560.0
130	1560.0
125	1495.0
