# file:
#   name: cheap-geared_-1000_1000_10_10_0.1
#   comment: ''
#   date: '2024-11-08T16:16:02.995094'
#   index_col: motor_input
#   table_delim: "\t"
# user:
#   motor_name: cheap-geared
#   min_pos: -1000
#   max_pos: 1000
#   step: 10
#   cycles: 10
#   delay: 0.1
#   meas_type: short
#   input_units: null
#   calibration:
#     cam_position_um:
#     - -801
#     - -642
#     - -446
#     - -211
#     - -61
#     - 135
#     - 328
#     - 524
#     - 709
#     qpd_voltage_mV:
#     - -6481.35
#     - -5347.7
#     - -3769.225
#     - -1655.295
#     - -204.915
#     - 1661.76
#     - 3415.0
#     - 4999.98
#     - 6362.025
#     rescale_ref_um: 173
#     rescale_ref_mV: 1790
#     optical_lever_m: 0.75
#     mirror_lever_m: 0.031
#   compensated_backlash: 0
#   input_to_translation: 5.086263020833333e-09
# dev: {}
# 
motor_input	qpd_voltage_mV
-1000	-1516.0
-990	-1516.0
-980	-1526.0
-970	-1541.0
-960	-1516.0
-950	-1516.0
-940	-1507.0
-930	-1506.0
-920	-1508.0
-910	-1508.0
-900	-1535.0
-890	-1544.0
-880	-1530.875
-870	-1529.0
-860	-1526.0
-850	-1550.0
-840	-1549.0
-830	-1549.0
-820	-1535.0
-810	-1514.0
-800	-1514.0
-790	-1472.0
-780	-1466.0
-770	-1432.0
-760	-1432.0
-750	-1384.0
-740	-1360.0
-730	-1367.5
-720	-1370.0
-710	-1330.0
-700	-1325.0
-690	-1325.0
-680	-1282.0
-670	-1266.0
-660	-1248.75
-650	-1243.0
-640	-1209.0
-630	-1181.0
-620	-1155.125
-610	-1135.0
-600	-1067.0
-590	-1092.0
-580	-1084.125
-570	-1071.0
-560	-1031.0
-550	-987.0
-540	-987.0
-530	-988.0
-520	-944.0
-510	-935.0
-500	-935.0
-490	-888.0
-480	-851.0
-470	-863.25
-460	-865.0
-450	-827.0
-440	-822.0
-430	-796.8125
-420	-791.0
-410	-757.0
-400	-755.0
-390	-755.0
-380	-724.0
-370	-689.0
-360	-644.0
-350	-641.0
-340	-653.0
-330	-645.0
-320	-599.625
-310	-579.0
-300	-581.0
-290	-496.0
-280	-496.0
-270	-481.0
-260	-485.0
-250	-420.0
-240	-420.0
-230	-435.0
-220	-412.0
-210	-352.0
-200	-352.0
-190	-349.0
-180	-326.0
-170	-288.875
-160	-272.0
-150	-265.0
-140	-214.0
-130	-208.75
-120	-193.0
-110	-172.0
-100	-131.0
-90	-131.4375
-80	-132.0
-70	-126.0
-60	-76.0
-50	-68.875
-40	-38.0
-30	5.0
-20	35.0
-10	35.0
0	77.0
10	79.0
20	71.0
30	71.0
40	119.0
50	143.0
60	177.0
70	177.0
80	194.0
90	200.0
100	246.3125
110	257.0
120	300.0
130	298.0
140	316.5625
150	331.0
160	363.0
170	383.0
180	383.0
190	381.0
200	418.0
210	452.0
220	452.0
230	466.0
240	492.0
250	492.375
260	493.0
270	505.0
280	527.0
290	527.0
300	548.0
310	587.0
320	606.0
330	606.0
340	603.0
350	627.0
360	635.125
370	637.0
380	648.0
390	699.0
400	698.6875
410	694.0
420	740.0
430	759.0
440	759.0
450	782.0
460	817.0
470	825.0
480	825.0
490	844.0
500	863.0
510	863.875
520	870.0
530	878.0
540	901.0
550	919.0
560	949.0
570	970.0
580	998.0
590	998.0
600	1023.0
610	1019.0
620	1035.875
630	1046.0
640	1074.0
650	1101.0
660	1101.0
670	1107.0
680	1149.0
690	1152.0
700	1152.0
710	1183.0
720	1238.0
730	1263.0
740	1263.0
