# file:
#   name: newport-dc_-0.02_0.02_0.0001_5_0.1
#   comment: ''
#   date: '2024-10-17T12:22:18'
#   index_col: motor_input
#   table_delim: "\t"
# user:
#   motor_name: newport-dc
#   min_pos: -0.02
#   max_pos: 0.02
#   step: 0.0001
#   cycles: 5
#   delay: 0.1
#   meas_type: long
#   input_units: mm
#   calibration:
#     cam_position_um:
#     - -801
#     - -642
#     - -446
#     - -211
#     - -61
#     - 135
#     - 328
#     - 524
#     - 709
#     qpd_voltage_mV:
#     - -6481.35
#     - -5347.7
#     - -3769.225
#     - -1655.295
#     - -204.915
#     - 1661.76
#     - 3415.0
#     - 4999.98
#     - 6362.025
#     rescale_ref_um: null
#     rescale_ref_mV: null
#     optical_lever_m: 0.75
#     mirror_lever_m: 0.04
#   compensated_backlash: 5.91e-06
#   input_to_translation: 0.001
# dev: {}
# 
motor_input	qpd_voltage_mV
-0.02	-5975.125
-0.0199	-6525.0
-0.0198	-6523.0
-0.0197	-6523.0
-0.0196	-6530.875
-0.0195	-6537.0
-0.0194	-6537.0
-0.0193	-6537.0
-0.0192	-6537.0
-0.0191	-6534.0
-0.019	-6518.0
-0.0189	-6518.0
-0.0188	-6504.0
-0.0187	-6504.0
-0.0186	-6504.0
-0.0185	-6494.0
-0.0184	-6494.0
-0.0183	-6460.0
-0.0182	-6410.0
-0.0181	-6410.0
-0.018	-6398.125
-0.0179	-6372.0
-0.0178	-6372.0
-0.0177	-6318.0
-0.0176	-6318.0
-0.0175	-6262.875
-0.0174	-6255.0
-0.0173	-6255.0
-0.0172	-6184.0
-0.0171	-6184.0
-0.017	-6126.0
-0.0169	-6063.0
-0.0168	-6063.0
-0.0167	-6038.0
-0.0166	-6038.0
-0.0165	-6001.25
-0.0164	-5989.0
-0.0163	-5989.0
-0.0162	-5944.0
-0.0161	-5944.0
-0.016	-5871.0
-0.0159	-5871.0
-0.0158	-5862.5
-0.0157	-5803.0
-0.0156	-5803.0
-0.0155	-5744.0
-0.0154	-5744.0
-0.0153	-5671.0
-0.0152	-5671.0
-0.0151	-5671.0
-0.015	-5602.0
-0.0149	-5602.0
-0.0148	-5511.0
-0.0147	-5511.0
-0.0146	-5496.1875
-0.0145	-5432.0
-0.0144	-5387.0
-0.0143	-5387.0
-0.0142	-5369.0
-0.0141	-5369.0
-0.014	-5363.875
-0.0139	-5287.0
-0.0138	-5287.0
-0.0137	-5183.0
-0.0136	-5183.0
-0.0135	-5133.0
-0.0134	-5133.0
-0.0133	-5133.0
-0.0132	-5054.0
-0.0131	-5054.0
-0.013	-4921.0
-0.0129	-4921.0
-0.0128	-4875.0
-0.0127	-4860.0
-0.0126	-4863.0
-0.0125	-4810.5
-0.0124	-4803.0
-0.0123	-4803.0
-0.0122	-4753.0
-0.0121	-4712.0
-0.012	-4712.0
-0.0119	-4673.5625
-0.0118	-4671.0
-0.0117	-4671.0
-0.0116	-4583.0
-0.0115	-4583.0
-0.0114	-4506.0
-0.0113	-4506.0
-0.0112	-4473.625
-0.0111	-4432.0
-0.011	-4432.0
-0.0109	-4370.0
-0.0108	-4370.0
-0.0107	-4302.0
-0.0106	-4302.0
-0.0105	-4302.0
-0.0104	-4209.0
-0.0103	-4209.0
-0.0102	-4146.0
-0.0101	-4146.0
-0.01	-4110.5
-0.0099	-4075.0
-0.0098	-4075.0
-0.0097	-3990.0
-0.0096	-3990.0
-0.0095	-3917.0
-0.0094	-3917.0
-0.0093	-3917.0
-0.0092	-3829.0
-0.0091	-3829.0
-0.009	-3765.0
-0.0089	-3703.0
-0.0088	-3673.0
-0.0087	-3659.75
-0.0086	-3583.0
-0.0085	-3567.0
-0.0084	-3557.0
-0.0083	-3557.0
-0.0082	-3441.0
-0.0081	-3441.0
-0.008	-3411.0
-0.0079	-3411.0
-0.0078	-3322.0
-0.0077	-3322.0
-0.0076	-3299.0
-0.0075	-3233.0
-0.0074	-3233.0
-0.0073	-3190.125
-0.0072	-3132.0
-0.0071	-3098.0
-0.007	-3060.0
-0.0069	-3021.0
-0.0068	-3021.0
-0.0067	-3003.0
-0.0066	-3003.0
-0.0065	-2919.0
-0.0064	-2919.0
-0.0063	-2919.0
-0.0062	-2834.0
-0.0061	-2834.0
-0.006	-2766.0
-0.0059	-2766.0
-0.0058	-2714.125
-0.0057	-2683.0
-0.0056	-2683.0
-0.0055	-2614.0
-0.0054	-2614.0
-0.0053	-2545.0
-0.0052	-2545.0
-0.0051	-2545.0
-0.005	-2441.0
-0.0049	-2441.0
-0.0048	-2352.0
-0.0047	-2352.0
-0.0046	-2324.5
-0.0045	-2297.0
-0.0044	-2297.0
-0.0043	-2201.0
-0.0042	-2201.0
-0.0041	-2129.0
-0.004	-2129.0
-0.0039	-2129.0
-0.0038	-2024.0
-0.0037	-2024.0
-0.0036	-1947.0
-0.0035000000000001	-1947.0
-0.0034000000000001	-1896.375
-0.0033000000000001	-1857.0
-0.0032000000000001	-1857.0
-0.0031000000000001	-1775.0
-0.0030000000000001	-1775.0
-0.0029000000000001	-1694.0
-0.0028000000000001	-1694.0
-0.0027000000000001	-1674.6875
-0.0026000000000001	-1591.0
-0.0025000000000001	-1591.0
-0.0024000000000001	-1506.0
-0.0023000000000001	-1506.0
-0.0022000000000001	-1435.125
-0.0021000000000001	-1425.0
-0.0020000000000001	-1425.0
-0.0019000000000001	-1326.0
-0.0018000000000001	-1326.0
-0.0017000000000001	-1253.0
-0.0016000000000001	-1253.0
-0.0015000000000001	-1253.0
-0.0014000000000001	-1171.0
-0.0013000000000001	-1171.0
-0.0012000000000001	-1075.0
-0.0011000000000001	-1075.0
-0.0010000000000001	-1012.0
-0.0009000000000001	-962.5
-0.0008000000000001	-940.0
-0.0007000000000001	-940.0
-0.0006000000000001	-875.0
-0.0005000000000001	-875.0
-0.0004000000000001	-785.0
-0.0003000000000001	-785.0
-0.0002000000000001	-785.0
-0.0001000000000001	-669.0
-1.214306433183765e-16	-669.0
9.999999999987796e-05	-591.0
0.0001999999999998	-591.0
0.0002999999999998	-515.0
0.0003999999999998	-515.0
0.0004999999999998	-432.0
0.0005999999999998	-432.0
0.0006999999999998	-400.0
0.0007999999999998	-400.0
0.0008999999999998	-332.0
0.0009999999999998	-332.0
0.0010999999999998	-288.0
0.0011999999999998	-244.0
0.0012999999999998	-244.0
0.0013999999999998	-140.0
0.0014999999999998	-140.0
0.0015999999999998	-41.0
0.0016999999999998	-41.0
0.0017999999999998	-15.75
0.0018999999999998	60.0
0.0019999999999998	60.0
0.0020999999999998	134.0
0.0021999999999998	134.0
0.0022999999999998	219.0
0.0023999999999998	219.0
0.0024999999999998	219.0
0.0025999999999998	286.0
0.0026999999999998	286.0
0.0027999999999998	365.0
0.0028999999999998	455.0
0.0029999999999998	455.0
0.0030999999999998	478.5
0.0031999999999998	502.0
0.0032999999999998	502.0
0.0033999999999998	590.0
0.0034999999999998	590.0
0.0035999999999998	686.0
0.0036999999999998	686.0
0.0037999999999998	686.0
0.0038999999999998	769.0
0.0039999999999998	769.0
0.0040999999999998	842.0
0.0041999999999998	842.0
0.0042999999999998	920.0
0.0043999999999998	975.0
0.0044999999999998	975.0
0.0045999999999998	993.8125
0.0046999999999998	1018.0
0.0047999999999998	1018.0
0.0048999999999998	1107.0
0.0049999999999998	1107.0
0.0050999999999998	1196.0
0.0051999999999998	1196.0
0.0052999999999998	1196.0
0.0053999999999998	1305.0
0.0054999999999998	1305.0
0.0055999999999998	1380.0
0.0056999999999998	1380.0
0.0057999999999998	1402.25
0.0058999999999998	1469.0
0.0059999999999998	1547.0
0.0060999999999998	1547.0
0.0061999999999998	1579.0
0.0062999999999998	1667.0
0.0063999999999998	1667.0
0.0064999999999998	1681.0
0.0065999999999998	1681.0
