# file:
#   name: newport-stepper_-0.004_0.004_5e-05_10_0.1
#   comment: ''
#   date: '2024-10-17T12:53:54'
#   index_col: motor_input
#   table_delim: "\t"
# user:
#   motor_name: newport-stepper
#   min_pos: -0.004
#   max_pos: 0.004
#   step: 5.0e-05
#   cycles: 10
#   delay: 0.1
#   meas_type: short
#   input_units: mm
#   calibration:
#     cam_position_um:
#     - -801
#     - -642
#     - -446
#     - -211
#     - -61
#     - 135
#     - 328
#     - 524
#     - 709
#     qpd_voltage_mV:
#     - -6481.35
#     - -5347.7
#     - -3769.225
#     - -1655.295
#     - -204.915
#     - 1661.76
#     - 3415.0
#     - 4999.98
#     - 6362.025
#     rescale_ref_um: null
#     rescale_ref_mV: null
#     optical_lever_m: 0.75
#     mirror_lever_m: 0.04
#   compensated_backlash: 7.11e-06
#   input_to_translation: 0.001
# dev: {}
# 
motor_input	qpd_voltage_mV
-0.004	-396.0
-0.00395	-1281.0
-0.0039	-1281.0
-0.00385	-1070.0
-0.0038	-1070.0
-0.00375	-1044.0
-0.0037	-1044.0
-0.00365	-1027.5
-0.0036	-1022.0
-0.00355	-1022.0
-0.0035	-994.0
-0.00345	-994.0
-0.0034	-965.0
-0.00335	-965.0
-0.0033	-965.0
-0.00325	-920.0
-0.0032	-920.0
-0.00315	-910.0
-0.0031	-888.0
-0.00305	-888.0
-0.003	-866.0
-0.00295	-866.0
-0.0029	-866.0
-0.00285	-848.0
-0.0028	-848.0
-0.00275	-798.0
-0.0027	-798.0
-0.00265	-797.4375
-0.0026	-789.0
-0.00255	-789.0
-0.0025	-739.0
-0.00245	-739.0
-0.0024	-730.75
-0.00235	-706.0
-0.0023	-706.0
-0.00225	-686.0
-0.0022	-686.0
-0.00215	-648.0
-0.0021	-648.0
-0.00205	-648.0
-0.002	-608.0
-0.00195	-608.0
-0.0019	-588.5
-0.00185	-582.0
-0.0018	-582.0
-0.00175	-557.0
-0.0017	-557.0
-0.00165	-536.0
-0.0016	-529.0
-0.00155	-529.0
-0.0015	-515.0
-0.00145	-515.0
-0.0014	-487.0
-0.00135	-487.0
-0.0013	-464.5
-0.00125	-451.0
-0.0012	-451.0
-0.00115	-412.0
-0.0011	-412.0
-0.00105	-389.5
-0.001	-382.0
-0.00095	-382.0
-0.0009	-358.0
-0.00085	-358.0
-0.0008	-358.0
-0.00075	-313.0
-0.0007	-313.0
-0.00065	-292.0
-0.0006	-292.0
-0.00055	-292.0
-0.0005	-266.0
-0.00045	-266.0
-0.0004	-213.0
-0.00035	-213.0
-0.0003	-213.0
-0.00025	-178.0
-0.0002	-178.0
-0.00015	-154.0
-0.0001	-154.0
-5.0000000000023984e-05	-154.0
-2.4286128663675302e-17	-106.0
4.999999999997541e-05	-106.0
9.999999999997512e-05	-83.0
0.0001499999999999	-83.0
0.0001999999999999	-83.0
0.0002499999999999	-69.0
0.0002999999999999	-69.0
0.0003499999999999	-23.0
0.0003999999999999	-23.0
0.0004499999999999	-23.0
0.0004999999999999	17.0
0.0005499999999999	17.0
0.0005999999999999	48.5
0.0006499999999999	53.0
0.0006999999999999	53.0
0.0007499999999999	71.0
0.0007999999999999	71.0
0.0008499999999999	85.0
0.0008999999999999	85.0
0.0009499999999999	85.0
0.0009999999999999	135.0
0.0010499999999999	135.0
0.0010999999999999	156.875
0.0011499999999999	160.0
0.0011999999999999	160.0
0.0012499999999999	190.0
0.0012999999999999	190.0
0.0013499999999999	196.5
0.0013999999999999	216.0
0.0014499999999999	216.0
0.0014999999999999	268.0
0.0015499999999999	268.0
0.0015999999999999	268.0
0.0016499999999999	298.0
0.0016999999999999	298.0
0.0017499999999999	331.0
0.0017999999999999	331.0
0.0018499999999999	331.0
0.0018999999999999	353.0
0.0019499999999999	353.0
0.0019999999999999	388.0
0.0020499999999999	393.0
0.0020999999999999	393.0
0.0021499999999999	416.0
0.0021999999999999	416.0
0.0022499999999999	442.125
0.0022999999999999	454.0
0.0023499999999999	454.0
0.0023999999999999	483.0
0.0024499999999999	483.0
0.0024999999999999	506.0625
0.0025499999999999	524.0
0.0025999999999999	524.0
0.0026499999999999	547.0
0.0026999999999999	547.0
0.0027499999999999	561.0625
0.0027999999999999	592.0
0.0028499999999999	592.0
0.0028999999999999	630.0
0.0029499999999999	630.0
0.0029999999999999	630.0
0.0030499999999999	645.0
0.0030999999999999	645.0
0.0031499999999999	679.0
0.0031999999999999	679.0
0.0032499999999999	679.0
0.0032999999999999	716.0
0.0033499999999999	716.0
0.0033999999999999	745.25
0.0034499999999999	752.0
0.0034999999999999	752.0
0.0035499999999999	770.0
0.0035999999999999	770.0
0.0036499999999999	783.0
0.0036999999999999	822.0
0.0037499999999999	822.0
0.0037999999999999	821.0
0.0038499999999999	821.0
0.0038999999999999	821.0
0.0039499999999999	874.0
0.004	874.0
0.00395	900.0
