# file:
#   name: newport-stepper_-0.02_0.02_0.0001_5_0.1
#   comment: ''
#   date: '2024-10-17T13:13:47'
#   index_col: motor_input
#   table_delim: "\t"
# user:
#   motor_name: newport-stepper
#   min_pos: -0.02
#   max_pos: 0.02
#   step: 0.0001
#   cycles: 5
#   delay: 0.1
#   meas_type: long
#   input_units: mm
#   calibration:
#     cam_position_um:
#     - -801
#     - -642
#     - -446
#     - -211
#     - -61
#     - 135
#     - 328
#     - 524
#     - 709
#     qpd_voltage_mV:
#     - -6481.35
#     - -5347.7
#     - -3769.225
#     - -1655.295
#     - -204.915
#     - 1661.76
#     - 3415.0
#     - 4999.98
#     - 6362.025
#     rescale_ref_um: null
#     rescale_ref_mV: null
#     optical_lever_m: 0.75
#     mirror_lever_m: 0.04
#   compensated_backlash: 7.11e-06
#   input_to_translation: 0.001
# dev: {}
# 
motor_input	qpd_voltage_mV
-0.02	-2325.0
-0.0199	-5059.0
-0.0198	-5039.0
-0.0197	-4899.0
-0.0196	-4899.0
-0.0195	-4870.0
-0.0194	-4870.0
-0.0193	-4870.0
-0.0192	-4845.0
-0.0191	-4845.0
-0.019	-4785.0
-0.0189	-4785.0
-0.0188	-4785.0
-0.0187	-4723.0
-0.0186	-4723.0
-0.0185	-4701.0625
-0.0184	-4684.0
-0.0183	-4684.0
-0.0182	-4636.0
-0.0181	-4636.0
-0.018	-4611.9375
-0.0179	-4601.0
-0.0178	-4601.0
-0.0177	-4536.0
-0.0176	-4536.0
-0.0175	-4536.0
-0.0174	-4484.0
-0.0173	-4484.0
-0.0172	-4449.0
-0.0171	-4449.0
-0.017	-4449.0
-0.0169	-4406.0
-0.0168	-4406.0
-0.0167	-4346.0
-0.0166	-4346.0
-0.0165	-4346.0
-0.0164	-4280.0
-0.0163	-4280.0
-0.0162	-4223.0
-0.0161	-4223.0
-0.016	-4223.0
-0.0159	-4156.0
-0.0158	-4156.0
-0.0157	-4123.375
-0.0156	-4098.0
-0.0155	-4098.0
-0.0154	-4047.0
-0.0153	-4047.0
-0.0152	-4047.0
-0.0151	-3981.0
-0.015	-3981.0
-0.0149	-3935.0
