# file:
#   name: pancake-direct_-200_200_1_5_0.1
#   comment: ''
#   date: '2024-11-08T14:12:37.058788'
#   index_col: motor_input
#   table_delim: "\t"
# user:
#   motor_name: pancake-direct
#   min_pos: -200
#   max_pos: 200
#   step: 1
#   cycles: 5
#   delay: 0.1
#   meas_type: long
#   input_units: null
#   calibration:
#     cam_position_um:
#     - -801
#     - -642
#     - -446
#     - -211
#     - -61
#     - 135
#     - 328
#     - 524
#     - 709
#     qpd_voltage_mV:
#     - -6481.35
#     - -5347.7
#     - -3769.225
#     - -1655.295
#     - -204.915
#     - 1661.76
#     - 3415.0
#     - 4999.98
#     - 6362.025
#     rescale_ref_um: 173
#     rescale_ref_mV: 1790
#     optical_lever_m: 0.75
#     mirror_lever_m: 0.031
#   compensated_backlash: 0
#   input_to_translation: 7.8125e-08
# dev: {}
# 
motor_input	qpd_voltage_mV
-200	-3200.0
-199	-3200.0
-198	-4892.0
-197	-4892.0
-196	-4910.8125
-195	-4935.0
-194	-4935.0
-193	-4956.0
-192	-4956.0
-191	-4956.0
-190	-4956.0
-189	-4956.0
-188	-4888.0
-187	-4888.0
-186	-4872.0
-185	-4872.0
-184	-4852.0
-183	-4792.0
-182	-4792.0
-181	-4734.0
-180	-4734.0
-179	-4704.0
-178	-4702.0
-177	-4702.0
-176	-4651.0
-175	-4651.0
-174	-4593.25
-173	-4574.0
-172	-4574.0
-171	-4505.0
-170	-4505.0
-169	-4485.0
-168	-4485.0
-167	-4485.0
-166	-4407.0
-165	-4407.0
-164	-4318.625
-163	-4306.0
-162	-4306.0
-161	-4294.0
-160	-4294.0
-159	-4221.0
-158	-4221.0
-157	-4143.0
-156	-4143.0
-155	-4143.0
-154	-4111.0
-153	-4111.0
-152	-4076.0
-151	-4076.0
-150	-4076.0
-149	-4034.0
-148	-4034.0
-147	-4002.125
-146	-4000.0
-145	-4000.0
-144	-3876.0
-143	-3876.0
-142	-3826.0
-141	-3826.0
-140	-3822.0
-139	-3762.0
-138	-3762.0
-137	-3702.0
-136	-3702.0
-135	-3644.8125
-134	-3641.0
-133	-3641.0
-132	-3543.0
-131	-3543.0
-130	-3513.25
-129	-3509.0
-128	-3493.25
-127	-3467.0
-126	-3467.0
-125	-3373.0
-124	-3373.0
-123	-3335.0
-122	-3335.0
-121	-3307.0
-120	-3279.0
-119	-3279.0
-118	-3249.0
-117	-3249.0
-116	-3249.0
-115	-3157.0
-114	-3157.0
-113	-3089.0
-112	-3089.0
