# file:
#   name: pancake-direct_-50_50_1_10_0.1
#   comment: ''
#   date: '2024-11-08T13:55:04.895945'
#   index_col: motor_input
#   table_delim: "\t"
# user:
#   motor_name: pancake-direct
#   min_pos: -50
#   max_pos: 50
#   step: 1
#   cycles: 10
#   delay: 0.1
#   meas_type: short
#   input_units: null
#   calibration:
#     cam_position_um:
#     - -801
#     - -642
#     - -446
#     - -211
#     - -61
#     - 135
#     - 328
#     - 524
#     - 709
#     qpd_voltage_mV:
#     - -6481.35
#     - -5347.7
#     - -3769.225
#     - -1655.295
#     - -204.915
#     - 1661.76
#     - 3415.0
#     - 4999.98
#     - 6362.025
#     rescale_ref_um: 173
#     rescale_ref_mV: 1790
#     optical_lever_m: 0.75
#     mirror_lever_m: 0.031
#   compensated_backlash: 0
#   input_to_translation: 7.8125e-08
# dev: {}
# 
motor_input	qpd_voltage_mV
-50	-58.0
-49	-894.0
-48	-894.0
-47	-1101.5625
-46	-1263.0
-45	-1263.0
-44	-1247.0
-43	-1247.0
-42	-1211.0
-41	-1211.0
-40	-1172.75
-39	-1109.0
-38	-1109.0
-37	-1058.0
-36	-1058.0
-35	-1051.25
-34	-1046.0
-33	-1046.0
-32	-958.0
-31	-958.0
-30	-846.0
-29	-846.0
-28	-819.0
-27	-798.0
-26	-798.0
-25	-721.0
-24	-721.0
-23	-709.0
-22	-709.0
-21	-665.5
-20	-622.0
-19	-622.0
-18	-580.0
-17	-580.0
-16	-470.0
-15	-470.0
-14	-441.25
-13	-424.0
-12	-424.0
-11	-406.0
-10	-406.0
-9	-306.0
-8	-306.0
-7	-241.0
-6	-226.0
-5	-226.0
-4	-199.0
-3	-199.0
-2	-119.0
-1	-119.0
0	-74.3125
1	-64.0
2	-64.0
3	-1.0
4	-1.0
5	81.0
6	81.0
7	81.0
8	109.0
9	109.0
10	200.0
11	200.0
12	239.0
13	304.0
14	304.0
15	348.0
16	348.0
17	365.0
18	365.0
19	365.0
20	463.0
21	463.0
22	489.0
23	489.0
24	529.625
25	554.0
26	554.0
27	680.0
28	680.0
29	706.0
30	712.0
31	712.0
32	761.0
33	761.0
34	833.0
35	833.0
36	884.0
37	884.0
38	884.0
39	932.0
40	932.0
41	1048.0
42	1048.0
43	1051.4375
44	1103.0
45	1103.0
46	1118.0
47	1118.0
48	1182.0
49	1182.0
50	1182.0
49	1289.0
48	1289.0
47	1323.0
46	1323.0
45	1321.3125
44	1296.0
43	1296.0
42	1230.0
41	1230.0
40	1228.875
39	1221.0
38	1221.0
37	1145.0
36	1145.0
35	1053.1875
34	1032.0
33	1032.0
32	983.0
31	983.0
30	954.0
29	954.0
28	899.0
27	866.0
26	866.0
25	801.0
24	801.0
23	774.75
22	771.0
21	745.1875
20	712.0
19	692.0
18	692.0
17	618.5
16	608.0
15	603.6875
14	539.0
13	539.0
12	475.0
11	475.0
10	439.0
9	403.0
8	403.0
7	341.0
6	341.0
5	298.8125
4	266.0
3	266.0
2	197.0
1	197.0
0	149.0
-1	149.0
-2	109.0
-3	69.0
-4	69.0
-5	0.0
-6	0.0
-7	-8.75
-8	-35.0
-9	-35.0
-10	-107.0
-11	-107.0
-12	-166.0
-13	-166.0
-14	-166.0
-15	-223.0
-16	-223.0
-17	-293.0
-18	-293.0
-19	-308.0
-20	-373.0
-21	-373.0
-22	-408.0
-23	-408.0
-24	-460.0
-25	-512.0
-26	-512.0
-27	-569.0
-28	-569.0
-29	-617.0
-30	-617.0
-31	-641.375
-32	-647.0
-33	-666.25
-34	-724.0
-35	-724.0
-36	-799.0
-37	-799.0
-38	-820.0
-39	-823.0
-40	-823.0
-41	-867.0
-42	-867.0
-43	-958.0
-44	-958.0
-45	-958.0
-46	-1035.0
-47	-1035.0
-48	-1082.0
-49	-1082.0
-50	-1082.0
-49	-1168.0
-48	-1168.0
-47	-1176.0
-46	-1176.0
-45	-1232.0
-44	-1240.0
-43	-1240.0
-42	-1187.0
-41	-1187.0
-40	-1122.3125
-39	-1118.0
-38	-1118.0
-37	-1046.0
-36	-1046.0
-35	-1008.0
-34	-1008.0
-33	-982.5
