# file:
#   name: pancake-geared_-100_100_1_10_0.1
#   comment: ''
#   date: '2024-11-08T12:57:37.130311'
#   index_col: motor_input
#   table_delim: "\t"
# user:
#   motor_name: pancake-geared
#   min_pos: -100
#   max_pos: 100
#   step: 1
#   cycles: 10
#   delay: 0.1
#   meas_type: short
#   input_units: null
#   calibration:
#     cam_position_um:
#     - -801
#     - -642
#     - -446
#     - -211
#     - -61
#     - 135
#     - 328
#     - 524
#     - 709
#     qpd_voltage_mV:
#     - -6481.35
#     - -5347.7
#     - -3769.225
#     - -1655.295
#     - -204.915
#     - 1661.76
#     - 3415.0
#     - 4999.98
#     - 6362.025
#     rescale_ref_um: 173
#     rescale_ref_mV: 1790
#     optical_lever_m: 0.75
#     mirror_lever_m: 0.031
#   compensated_backlash: 0
#   input_to_translation: 2.6041666666666667e-08
# dev: {}
# 
motor_input	qpd_voltage_mV
-100	-539.0
-99	-539.0
-98	-601.0625
-97	-870.0
-96	-870.0
-95	-889.0
-94	-889.0
-93	-889.0
-92	-890.0
-91	-890.0
-90	-838.0
-89	-838.0
-88	-845.1875
-87	-861.0
-86	-861.0
-85	-838.0
-84	-838.0
-83	-835.375
-82	-832.0
-81	-832.0
-80	-781.0
-79	-781.0
-78	-757.625
-77	-747.0
-76	-747.0
-75	-762.0
-74	-762.0
-73	-754.0
-72	-754.0
-71	-754.0
-70	-721.0
-69	-721.0
-68	-727.5625
-67	-728.0
-66	-728.0
-65	-663.0
-64	-663.0
-63	-650.8125
-62	-624.0
-61	-624.0
-60	-613.0
-59	-613.0
-58	-613.0
-57	-613.0
-56	-613.0
-55	-559.0
-54	-559.0
-53	-557.0
-52	-557.0
-51	-557.0
-50	-548.0
-49	-548.0
-48	-498.0
-47	-498.0
-46	-498.0
-45	-491.0
-44	-491.0
-43	-448.0
-42	-448.0
-41	-448.6875
-40	-459.0
-39	-459.0
-38	-434.0
-37	-434.0
-36	-425.0
-35	-410.0
-34	-410.0
-33	-380.0
-32	-380.0
-31	-358.25
-30	-351.0
-29	-351.0
-28	-308.0
-27	-308.0
-26	-330.0
-25	-330.0
-24	-311.1875
-23	-287.0
-22	-287.0
-21	-249.0
-20	-249.0
-19	-249.0
-18	-266.0
-17	-266.0
-16	-224.0
-15	-224.0
-14	-219.125
-13	-198.0
-12	-198.0
-11	-194.0
-10	-194.0
-9	-194.0
-8	-175.0
-7	-175.0
-6	-129.0
-5	-129.0
-4	-129.0
-3	-133.0
-2	-133.0
-1	-109.0
0	-109.0
1	-67.0
2	-61.0
3	-61.0
4	-72.0
5	-72.0
6	-40.0
7	-40.0
8	-20.0
9	-8.0
10	-8.0
11	-20.0
12	-20.0
13	-20.0
14	38.0
15	38.0
16	41.0
17	41.0
18	41.0
19	35.0
20	35.0
21	38.0625
22	42.0
23	42.0
24	72.0
25	72.0
26	72.0
27	121.0
28	121.0
29	204.0
30	204.0
31	203.1875
32	203.0
33	203.0
34	183.0
35	183.0
36	217.3125
37	244.0
38	244.0
39	245.0
40	245.0
41	241.75
42	241.0
43	241.0
44	299.0
45	299.0
46	309.5625
47	312.0
48	318.625
49	365.0
50	365.0
51	348.0
52	348.0
53	352.5
54	372.0
55	372.0
56	431.0
57	431.0
58	431.0
59	424.0
60	424.0
61	479.0
62	479.0
63	474.75
64	445.0
65	445.0
66	497.0
67	497.0
68	497.0
69	517.0
70	517.0
71	539.0
72	539.0
73	538.9375
74	538.0
75	538.0
76	593.0
77	593.0
78	593.0
79	572.0
80	572.0
81	593.0
82	593.0
83	625.5
84	645.0
85	645.0
86	665.0
87	665.0
88	702.0
89	702.0
90	700.75
91	698.0
92	698.0
93	705.0
94	705.0
95	705.0
96	742.0
97	742.0
98	768.0
99	768.0
100	780.0
99	816.0
98	816.0
97	852.0
96	852.0
95	834.0
94	816.0
93	816.0
92	831.0
91	831.0
90	814.375
89	812.0
88	812.0
87	812.0
86	812.0
85	784.0
84	784.0
83	782.375
82	758.0
81	758.0
